date,count_obs,count_obscured
2020-01-01,14,0
2020-01-02,1,0
2020-01-03,3,0
2020-01-14,4,0
2020-01-18,3,0
2020-01-31,1,0
2020-02-15,3,0
2020-02-17,1,0
2020-02-19,1,0
2020-02-22,2,0
2020-02-25,6,0
2020-02-27,6,0
2020-02-28,5,0
2020-02-29,25,0
2020-03-01,10,0
2020-03-03,1,0
2020-03-05,31,0
2020-03-06,1,0
2020-03-07,1,0
2020-03-08,1,0
2020-03-09,34,0
2020-03-11,2,0
2020-03-12,18,0
2020-03-13,3,0
2020-03-14,5,0
2020-03-16,15,0
2020-03-18,39,0
2020-03-19,1,0
2020-03-20,57,0
2020-03-24,2,0
2020-03-25,2,0
2020-03-26,14,0
2020-03-28,4,0
2020-03-29,33,0
2020-04-01,1,0
2020-04-05,1,0
2020-04-07,1,0
2020-04-08,33,0
2020-04-09,1,0
2020-04-10,56,1
2020-04-15,47,0
2020-04-19,9,0
2020-04-21,10,0
2020-04-23,23,0
2020-04-24,84,0
2020-04-27,1,0
2020-04-29,14,0
2020-04-30,70,0
2020-05-01,13,0
2020-05-02,5,0
2020-05-03,13,0
2020-05-06,10,0
2020-05-07,4,0
2020-05-09,46,0
2020-05-10,9,0
2020-05-11,22,0
2020-05-12,27,0
2020-05-13,42,0
2020-05-14,6,0
2020-05-15,20,0
2020-05-17,9,0
2020-05-18,5,0
2020-05-20,48,0
2020-05-22,27,0
2020-05-24,1,0
2020-05-28,29,0
2020-05-29,31,0
2020-05-30,1,0
2020-06-06,1,0
2020-06-12,1,0
2020-06-19,36,0
2020-06-26,17,0
2020-06-27,31,0
2020-07-02,17,0
2020-07-03,7,0
2020-07-05,17,0
2020-07-06,18,0
2020-07-07,74,2
2020-07-08,1,14
2020-07-10,0,2
2020-07-12,1,13
2020-07-14,0,12
2020-07-15,34,0
2020-07-17,52,0
2020-07-18,32,0
2020-07-20,2,0
2020-07-21,19,0
2020-07-22,33,0
2020-07-25,47,0
2020-07-29,0,7
2020-07-30,18,0
2020-07-31,22,0
2020-08-01,61,0
2020-08-02,2,5
2020-08-03,0,1
2020-08-07,2,8
2020-08-08,0,1
2020-08-09,49,0
2020-08-11,0,10
2020-08-13,1,11
2020-08-14,0,15
2020-08-15,1,6
2020-08-16,0,12
2020-08-17,13,0
2020-08-18,0,17
2020-08-19,0,34
2020-08-20,88,5
2020-08-21,62,0
2020-08-22,0,31
2020-08-23,0,1
2020-08-24,1,0
2020-08-25,0,3
2020-08-29,0,21
2020-08-30,0,4
2020-09-06,48,40
2020-09-07,153,20
2020-09-08,147,12
2020-09-09,145,6
2020-09-10,97,0
2020-09-11,59,11
2020-09-12,115,12
2020-09-13,3,0
2020-09-17,10,0
2020-09-19,23,10
2020-09-20,23,4
2020-09-21,1,0
2020-09-24,3,0
2020-09-25,1,0
2020-09-26,0,3
2020-10-01,0,4
2020-10-02,0,12
2020-10-03,6,11
2020-10-04,0,3
2020-10-06,18,0
2020-10-10,0,3
2020-10-11,10,0
2020-10-12,65,1
2020-10-13,88,0
2020-10-14,5,0
2020-10-16,0,7
2020-10-17,1,8
2020-10-18,0,2
2020-10-20,3,0
2020-10-22,4,0
2020-10-24,1,0
2020-10-30,2,0
2020-10-31,35,0
2020-11-01,63,0
2020-11-02,2,0
2020-11-10,1,0
2020-11-23,2,0
2020-11-24,32,0
2020-11-25,4,1
2020-11-26,16,1
2020-11-27,1,0
2020-12-24,8,0
