date,count_obs,count_obscured
2019-01-09,8,1
2019-01-10,2,1
2019-01-11,1,2
2019-02-19,1,0
2019-04-02,1,0
2019-04-06,1,0
2019-04-14,2,0
2019-04-18,2,0
2019-04-19,1,0
2019-04-21,3,0
2019-04-23,2,0
2019-05-13,1,0
2019-05-16,1,0
2019-05-17,1,0
2019-05-22,4,0
2019-05-23,3,0
2019-05-24,7,0
2019-05-27,1,0
2019-06-02,1,0
2019-06-05,3,0
2019-06-09,2,1
2019-06-11,1,0
2019-06-14,2,0
2019-06-17,1,0
2019-06-19,2,0
2019-06-29,3,0
2019-06-30,1,0
2019-07-01,0,1
2019-07-02,6,2
2019-07-07,5,1
2019-07-11,1,0
2019-07-12,7,2
2019-07-14,1,0
2019-07-19,2,0
2019-07-23,1,0
2019-07-24,9,1
2019-07-25,11,1
2019-07-26,1,0
2019-08-10,1,0
2019-08-25,1,1
2019-09-10,2,0
2019-09-11,7,0
2019-09-12,9,0
2019-09-13,2,0
2019-09-15,1,0
2019-09-22,1,0
2019-09-23,11,0
2019-09-24,3,0
2019-10-05,5,0
2019-10-15,1,0
